trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
TRIP_73059ace-b258-4310-8ad3-aaaa21aec13e,06:24:34,06:24:34,STOP_5b96f03f-6eec-4bf3-b22c-7004cce17c74,1,Circular Completa,0,0,,0
TRIP_73059ace-b258-4310-8ad3-aaaa21aec13e,06:25:34,06:25:34,STOP_b698de68-d829-4b0c-b26b-0c85d4f683fa,2,Circular Completa,0,0,,0
TRIP_73059ace-b258-4310-8ad3-aaaa21aec13e,06:26:34,06:26:34,STOP_a721d08d-f6c0-49a0-8ce4-34f7bcd85775,3,Circular Completa,0,0,,0
TRIP_73059ace-b258-4310-8ad3-aaaa21aec13e,06:27:34,06:27:34,STOP_c475fa9b-f7ba-45bf-be92-384e0fe2be20,4,Circular Completa,0,0,,0
TRIP_73059ace-b258-4310-8ad3-aaaa21aec13e,06:28:34,06:28:34,STOP_1851d31f-ac11-4d06-b887-c752bff94937,5,Circular Completa,0,0,,0
TRIP_73059ace-b258-4310-8ad3-aaaa21aec13e,06:29:34,06:29:34,STOP_e03a7908-92ca-4eeb-9698-7b702bf96f94,6,Circular Completa,0,0,,0
TRIP_73059ace-b258-4310-8ad3-aaaa21aec13e,06:30:34,06:30:34,STOP_e5ac499c-a524-49d5-9828-bd622a9b3feb,7,Circular Completa,0,0,,0
TRIP_73059ace-b258-4310-8ad3-aaaa21aec13e,06:31:34,06:31:34,STOP_0fcc22aa-f437-486d-b467-fa80f387367e,8,Circular Completa,0,0,,0
TRIP_73059ace-b258-4310-8ad3-aaaa21aec13e,06:32:34,06:32:34,STOP_a308f0a0-c3ef-4034-953b-2b2588aa6f30,9,Circular Completa,0,0,,0
TRIP_09094cdc-f4ad-495a-8c6c-fae7a33625de,06:00:04,06:00:04,STOP_5b96f03f-6eec-4bf3-b22c-7004cce17c74,1,Circular Completa,0,0,,0
TRIP_09094cdc-f4ad-495a-8c6c-fae7a33625de,06:01:04,06:01:04,STOP_b698de68-d829-4b0c-b26b-0c85d4f683fa,2,Circular Completa,0,0,,0
TRIP_09094cdc-f4ad-495a-8c6c-fae7a33625de,06:02:04,06:02:04,STOP_a721d08d-f6c0-49a0-8ce4-34f7bcd85775,3,Circular Completa,0,0,,0
TRIP_09094cdc-f4ad-495a-8c6c-fae7a33625de,06:03:04,06:03:04,STOP_c475fa9b-f7ba-45bf-be92-384e0fe2be20,4,Circular Completa,0,0,,0
TRIP_09094cdc-f4ad-495a-8c6c-fae7a33625de,06:04:04,06:04:04,STOP_1851d31f-ac11-4d06-b887-c752bff94937,5,Circular Completa,0,0,,0
TRIP_09094cdc-f4ad-495a-8c6c-fae7a33625de,06:05:04,06:05:04,STOP_e03a7908-92ca-4eeb-9698-7b702bf96f94,6,Circular Completa,0,0,,0
TRIP_09094cdc-f4ad-495a-8c6c-fae7a33625de,06:06:04,06:06:04,STOP_e5ac499c-a524-49d5-9828-bd622a9b3feb,7,Circular Completa,0,0,,0
TRIP_09094cdc-f4ad-495a-8c6c-fae7a33625de,06:07:04,06:07:04,STOP_0fcc22aa-f437-486d-b467-fa80f387367e,8,Circular Completa,0,0,,0
TRIP_09094cdc-f4ad-495a-8c6c-fae7a33625de,06:08:04,06:08:04,STOP_a308f0a0-c3ef-4034-953b-2b2588aa6f30,9,Circular Completa,0,0,,0
TRIP_7e622663-8baa-47c1-8aba-cd3eea5de596,06:14:22,06:14:22,STOP_5b96f03f-6eec-4bf3-b22c-7004cce17c74,1,Circular Completa,0,0,,0
TRIP_7e622663-8baa-47c1-8aba-cd3eea5de596,06:15:22,06:15:22,STOP_b698de68-d829-4b0c-b26b-0c85d4f683fa,2,Circular Completa,0,0,,0
TRIP_7e622663-8baa-47c1-8aba-cd3eea5de596,06:16:22,06:16:22,STOP_a721d08d-f6c0-49a0-8ce4-34f7bcd85775,3,Circular Completa,0,0,,0
TRIP_7e622663-8baa-47c1-8aba-cd3eea5de596,06:17:22,06:17:22,STOP_c475fa9b-f7ba-45bf-be92-384e0fe2be20,4,Circular Completa,0,0,,0
TRIP_7e622663-8baa-47c1-8aba-cd3eea5de596,06:18:22,06:18:22,STOP_1851d31f-ac11-4d06-b887-c752bff94937,5,Circular Completa,0,0,,0
TRIP_7e622663-8baa-47c1-8aba-cd3eea5de596,06:19:22,06:19:22,STOP_e03a7908-92ca-4eeb-9698-7b702bf96f94,6,Circular Completa,0,0,,0
TRIP_7e622663-8baa-47c1-8aba-cd3eea5de596,06:20:22,06:20:22,STOP_e5ac499c-a524-49d5-9828-bd622a9b3feb,7,Circular Completa,0,0,,0
TRIP_7e622663-8baa-47c1-8aba-cd3eea5de596,06:21:22,06:21:22,STOP_0fcc22aa-f437-486d-b467-fa80f387367e,8,Circular Completa,0,0,,0
TRIP_7e622663-8baa-47c1-8aba-cd3eea5de596,06:22:22,06:22:22,STOP_a308f0a0-c3ef-4034-953b-2b2588aa6f30,9,Circular Completa,0,0,,0
TRIP_06bc5a87-ebd2-4073-ace1-62b5a410a0e4,06:07:14,06:07:14,STOP_5b96f03f-6eec-4bf3-b22c-7004cce17c74,1,Circular Completa,0,0,,0
